,StatusExistingCheckingAccount,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccountBonds,PresentEmploymentSince,InstallmentRatePercentageOfDisposableIncome,PersonalStatusAndSex,OtherDebtorsGuarantors,PresentResidenceSince,Property,Age,OtherInstallmentPlans,Housing,NumberExistingCreditsAtThisBank,Job,NumPeopleLiableToProvideMaintenanceFor,Telephone,ForeignWorker,CreditApproved
0,1,6,5,4,1169,5,5,4,1,1,4,1,5,3,2,2,3,1,2,1,1
1,2,48,3,4,5951,1,3,2,2,1,2,1,1,3,2,1,3,1,1,1,2
2,4,12,5,7,2096,1,4,2,1,1,3,1,4,3,2,1,2,2,1,1,1
3,1,42,3,3,7882,1,4,2,1,3,4,2,4,3,3,1,3,2,1,1,1
4,1,24,4,1,4870,1,3,3,1,1,4,4,4,3,3,2,3,2,1,1,2
5,4,36,3,7,9055,5,3,2,1,1,4,4,3,3,3,1,2,2,2,1,1
6,4,24,3,3,2835,3,5,3,1,1,4,2,4,3,2,1,3,1,1,1,1
7,2,36,3,2,6948,1,3,2,1,1,2,3,3,3,1,1,4,1,2,1,1
8,4,12,3,4,3059,4,4,2,1,1,4,1,5,3,2,1,2,1,1,1,1
9,2,30,5,1,5234,1,1,4,1,1,2,3,2,3,2,2,4,1,1,1,2
10,2,12,3,1,1295,1,2,3,2,1,1,3,2,3,1,1,3,1,1,1,2
11,1,48,3,10,4308,1,2,3,2,1,4,2,1,3,1,1,3,1,1,1,2
12,2,12,3,4,1567,1,3,1,2,1,1,3,1,3,2,1,3,1,2,1,1
13,1,24,5,1,1199,1,5,4,1,1,4,3,5,3,2,2,2,1,1,1,2
14,1,15,3,1,1403,1,3,2,2,1,4,3,2,3,1,1,3,1,1,1,1
15,1,24,3,4,1282,2,3,4,2,1,2,3,2,3,2,1,2,1,1,1,2
16,4,24,5,4,2424,5,5,4,1,1,4,2,4,3,2,2,3,1,1,1,1
17,1,30,1,10,8072,5,2,2,1,1,3,3,2,1,2,3,3,1,1,1,1
18,2,24,3,2,12579,1,5,4,2,1,2,4,3,3,3,1,4,1,2,1,2
19,4,24,3,4,3430,3,5,3,1,1,2,3,2,3,2,1,3,2,2,1,1
20,4,9,5,1,2134,1,3,4,1,1,4,3,4,3,2,3,3,1,2,1,1
21,1,6,3,4,2647,3,3,2,1,1,3,1,3,3,1,1,3,2,1,1,1
22,1,10,5,1,2241,1,2,1,1,1,3,1,4,3,1,2,2,2,1,2,1
23,2,12,5,2,1804,2,2,3,1,1,4,2,3,3,2,1,3,1,1,1,1
24,4,10,5,3,2069,5,3,2,1,1,1,3,2,3,2,2,3,1,1,2,1
25,1,6,3,3,1374,1,3,1,1,1,2,1,3,1,2,1,2,1,2,1,1
26,4,6,1,4,426,1,5,4,1,1,4,3,3,3,2,1,2,1,1,1,1
27,3,12,2,4,409,4,3,3,2,1,3,1,3,3,1,2,3,1,1,1,1
28,2,7,3,4,2415,1,3,3,1,3,2,1,2,3,2,1,3,1,1,1,1
29,1,60,4,10,6836,1,5,3,1,1,4,4,5,3,2,2,3,1,2,1,2
30,2,18,3,10,1913,4,2,3,1,1,3,1,3,1,2,1,3,1,2,1,1
31,1,24,3,3,4020,1,3,2,1,1,2,3,2,2,2,1,3,1,1,1,1
32,2,18,3,1,5866,2,3,2,1,1,2,3,2,3,2,2,3,1,2,1,1
33,4,12,5,10,1264,5,5,4,1,1,4,4,5,3,1,1,2,1,1,1,1
34,3,12,3,3,1474,1,2,4,2,1,1,2,2,1,2,1,4,1,2,1,1
35,2,45,5,4,4746,1,2,4,1,1,2,2,2,3,2,2,2,1,1,1,2
36,4,48,5,7,6110,1,3,1,1,1,3,4,2,1,3,1,3,1,2,1,1
37,3,18,3,4,2100,1,3,4,1,2,2,1,3,2,2,1,3,1,1,1,2
38,3,10,3,5,1225,1,3,2,1,1,2,3,3,3,2,1,3,1,2,1,1
39,2,9,3,4,458,1,3,4,1,1,3,1,1,3,2,1,3,1,1,1,1
40,4,30,3,4,2333,3,5,4,1,1,2,3,2,1,2,1,4,1,1,1,1
41,2,12,3,4,1158,3,3,3,1,1,1,3,2,3,2,1,3,1,2,1,1
42,2,18,4,6,6204,1,3,2,1,1,4,1,3,3,2,1,2,2,2,1,1
43,1,30,5,2,6187,2,4,1,1,1,4,3,1,3,1,2,3,1,1,1,1
44,1,48,5,2,6143,1,5,4,2,1,4,4,5,2,3,2,2,1,1,1,2
45,4,11,5,1,1393,1,2,4,2,1,4,3,3,3,2,2,4,1,1,1,1
46,4,36,3,4,2299,3,5,4,1,1,4,3,3,3,2,1,3,1,1,1,1
47,1,6,3,2,1352,3,1,1,2,1,2,2,1,3,1,1,1,1,2,1,1
48,4,11,5,1,7228,1,3,1,1,1,4,2,3,3,2,2,2,1,1,1,1
49,4,12,3,4,2073,2,3,4,2,2,2,1,2,3,2,1,3,1,1,1,1
50,2,24,4,3,2333,5,2,4,1,1,2,2,2,1,2,1,2,1,1,1,1
51,2,27,4,2,5965,1,5,1,1,1,2,3,2,3,2,2,4,1,2,1,1
52,4,12,3,4,1262,1,3,3,1,1,2,3,2,3,2,1,3,1,1,1,1
53,4,18,3,2,3378,5,3,2,1,1,1,2,2,3,2,1,3,1,2,1,1
54,2,36,4,1,2225,1,5,4,1,1,4,4,5,1,3,2,3,1,2,1,2
55,4,6,2,1,783,5,3,1,1,3,2,1,2,2,2,1,2,2,1,1,1
56,2,12,3,4,6468,5,1,2,1,1,1,4,4,3,2,1,4,1,2,1,2
57,4,36,5,4,9566,1,3,2,2,1,2,3,2,2,2,2,3,1,1,1,1
58,3,18,3,1,1961,1,5,3,2,1,2,3,1,3,2,1,4,1,1,1,1
59,1,36,5,3,6229,1,2,4,2,2,4,4,1,3,1,2,2,1,2,1,2
60,2,9,3,10,1391,1,3,2,1,1,1,1,2,1,2,1,3,1,2,1,1
61,2,15,5,4,1537,5,5,4,1,3,4,1,4,3,2,2,3,1,2,1,1
62,2,36,1,10,1953,1,5,4,1,1,4,4,5,3,3,1,4,1,2,1,2
63,2,48,1,10,14421,1,3,2,1,1,2,3,2,3,2,1,3,1,2,1,2
64,4,24,3,4,3181,1,2,4,2,1,4,2,2,3,2,1,3,1,2,1,1
65,4,27,3,6,5190,5,5,4,1,1,4,2,4,3,2,4,3,2,2,1,1
66,4,12,3,4,2171,1,2,2,2,1,2,3,2,1,2,1,3,1,1,1,1
67,2,12,3,1,1007,4,3,4,1,1,1,1,1,3,2,1,3,1,1,1,1
68,4,36,3,7,1819,1,3,4,1,1,4,4,3,2,3,1,3,1,2,1,2
69,4,36,3,4,2394,5,3,4,2,1,4,3,2,3,2,1,3,1,1,1,1
70,4,36,3,2,8133,1,3,1,2,1,2,2,2,1,2,1,3,1,1,1,1
71,4,7,5,4,730,5,5,4,1,1,2,2,4,3,1,2,2,1,2,1,1
72,1,8,5,11,1164,1,5,3,1,1,4,4,4,1,3,2,4,2,2,1,1
73,2,42,5,10,5954,1,4,2,2,1,1,1,3,1,2,2,2,1,1,1,1
74,1,36,3,7,1977,5,5,4,1,1,4,4,3,3,2,1,4,1,2,1,2
75,1,12,5,2,1526,1,5,4,1,1,4,4,5,3,3,2,4,1,1,1,1
76,1,42,3,4,3965,1,2,4,1,1,3,3,2,3,2,1,3,1,1,1,2
77,2,11,4,4,4771,1,4,2,1,1,4,2,4,3,2,1,3,1,1,1,1
78,4,54,1,2,9436,5,3,2,1,1,2,2,3,3,2,1,2,2,1,1,1
79,2,30,3,3,3832,1,2,2,1,1,1,2,1,3,2,1,3,1,1,1,1
80,4,24,3,4,5943,5,2,1,2,1,1,3,3,3,2,2,3,1,2,1,2
81,4,15,3,4,1213,3,5,4,1,1,3,2,4,2,2,1,3,1,2,1,1
82,4,18,3,10,1568,2,3,3,2,1,4,2,1,3,1,1,2,1,1,1,1
83,1,24,3,11,1755,1,5,4,2,3,4,1,5,3,2,1,2,1,2,1,1
84,1,10,3,4,2315,1,5,3,1,1,4,1,4,3,2,1,2,1,1,1,1
85,4,12,5,10,1412,1,3,4,2,3,2,1,2,3,2,2,4,1,2,1,1
86,2,18,5,3,1295,1,2,4,2,1,1,2,2,3,2,2,3,1,1,1,1
87,2,36,3,7,12612,2,3,1,1,1,4,4,4,3,3,1,3,2,2,1,2
88,1,18,3,1,2249,2,4,4,1,1,3,3,2,3,2,1,4,2,2,1,1
89,1,12,1,6,1108,1,4,4,1,1,3,1,2,3,2,2,3,1,1,1,2
90,4,12,5,4,618,1,5,4,1,1,4,1,5,3,2,1,3,1,1,1,1
91,1,12,5,2,1409,1,5,4,1,1,3,1,4,3,2,1,3,1,1,1,1
92,4,12,5,4,797,5,5,4,2,1,3,2,2,1,2,1,2,2,1,1,2
93,3,24,5,3,3617,5,5,4,1,2,4,4,1,3,1,2,3,1,1,1,1
94,2,12,3,1,1318,4,5,4,1,1,4,1,4,3,2,1,3,1,2,1,1
95,2,54,1,10,15945,1,2,3,1,1,4,4,5,3,1,1,3,1,2,1,2
96,4,12,5,7,2012,5,4,4,2,1,2,3,5,3,2,1,3,1,1,1,1
97,2,18,3,10,2622,2,3,4,1,1,4,3,2,3,2,1,3,1,1,1,1
98,2,36,5,4,2337,1,5,4,1,1,4,1,3,3,2,1,3,1,1,1,1
99,2,20,4,2,7057,5,4,3,1,1,4,2,3,1,1,2,4,2,2,1,1
100,4,24,3,1,1469,2,5,4,1,1,4,1,3,3,1,1,2,1,1,1,1
101,2,36,3,4,2323,1,4,4,1,1,4,3,1,3,1,1,3,1,1,1,1
102,4,6,4,4,932,1,3,3,2,1,2,1,1,3,2,1,3,1,1,1,1
103,2,9,5,3,1919,1,4,4,1,1,3,3,3,3,1,1,3,1,2,1,1
104,4,12,3,2,2445,5,2,2,1,1,4,3,2,3,1,1,3,1,2,1,1
105,2,24,5,11,11938,1,3,2,1,2,3,3,3,3,2,2,4,2,2,1,2
106,4,18,2,1,6458,1,5,2,1,1,4,4,3,1,2,2,4,2,2,1,2
107,2,12,3,1,6078,1,4,2,1,1,2,3,2,3,2,1,3,1,1,1,1
108,1,24,3,3,7721,5,2,1,2,1,2,2,2,3,2,1,3,1,2,2,1
109,2,14,3,10,1410,3,5,1,1,1,2,1,3,3,2,1,3,1,2,1,1
110,2,6,4,10,1449,2,5,1,1,1,2,3,2,1,2,2,3,2,1,1,1
111,3,15,3,7,392,1,2,4,2,1,4,2,1,3,1,1,3,1,2,1,1
112,2,18,3,1,6260,1,4,3,1,1,3,1,2,3,1,1,2,1,1,1,1
113,4,36,5,1,7855,1,3,4,2,1,2,1,2,2,2,2,3,1,2,1,2
114,1,12,3,4,1680,3,5,3,1,1,1,1,3,3,2,1,3,1,1,1,1
115,4,48,5,4,3578,5,5,4,1,1,1,1,4,3,2,1,3,1,2,1,1
116,1,42,3,4,7174,5,4,4,2,1,3,3,2,3,2,1,4,1,2,1,2
117,1,10,5,3,2132,5,2,2,2,2,3,1,2,3,1,2,3,1,1,2,1
118,1,33,5,3,4281,3,3,1,2,1,4,3,1,3,2,2,3,1,1,1,2
119,2,12,5,1,2366,3,4,3,1,1,3,3,3,3,2,1,4,1,2,1,1
120,1,21,3,4,1835,1,3,3,2,1,2,1,2,3,2,2,3,1,2,1,2
121,4,24,5,2,3868,1,5,4,2,1,2,3,3,3,1,2,4,1,2,1,1
122,4,12,3,3,1768,1,3,3,1,1,2,1,1,3,1,1,2,1,1,1,1
123,3,10,5,1,781,1,5,4,1,1,4,4,5,3,3,2,3,1,2,1,1
124,2,18,3,3,1924,5,2,4,2,1,3,1,2,3,1,1,3,1,1,1,2
125,1,12,5,1,2121,1,3,4,1,1,2,2,2,3,2,2,3,1,1,1,1
126,1,12,3,4,701,1,3,4,1,1,2,1,3,3,2,1,2,1,1,1,1
127,2,12,3,6,639,1,3,4,1,1,2,3,2,3,2,1,3,1,1,1,2
128,2,12,5,2,1860,1,1,4,1,1,2,3,2,3,2,2,4,1,2,1,1
129,1,12,5,1,3499,1,3,3,2,2,2,1,2,3,2,2,3,1,1,1,2
130,2,48,3,1,8487,5,4,1,2,1,2,3,1,3,2,1,3,1,1,1,1
131,1,36,4,7,6887,1,3,4,1,1,3,2,2,2,2,1,3,1,2,1,2
132,4,15,3,3,2708,1,2,2,1,1,3,2,2,1,2,2,2,1,1,1,1
133,4,18,3,3,1984,1,3,4,1,1,4,4,4,1,3,2,3,1,1,1,1
134,4,60,3,4,10144,2,4,2,2,1,4,1,1,3,2,1,3,1,2,1,1
135,4,12,5,4,1240,5,5,4,2,1,2,1,3,3,2,2,3,1,2,1,1
136,4,27,4,2,8613,4,3,2,1,1,2,3,2,3,2,2,3,1,1,1,1
137,2,12,3,4,766,3,3,4,1,1,3,1,5,3,2,1,2,1,1,1,2
138,2,15,5,4,2728,5,4,4,1,3,2,1,3,1,2,3,3,1,2,1,1
139,3,12,3,4,1881,1,3,2,2,1,2,3,3,3,1,1,2,1,2,1,1
140,3,6,3,1,709,4,2,2,1,1,2,1,2,3,2,1,1,1,1,2,1
141,2,36,3,4,4795,1,2,4,2,1,1,4,2,3,2,1,4,1,2,1,1
142,1,27,3,4,3416,1,3,3,1,1,2,3,2,3,2,1,4,1,1,1,1
143,1,18,3,3,2462,1,3,2,1,1,2,3,1,3,2,1,3,1,1,1,2
144,4,21,5,3,2288,1,2,4,2,1,4,2,1,3,2,1,3,1,2,1,1
145,2,48,2,10,3566,2,4,4,1,1,2,3,2,3,2,1,3,1,1,1,1
146,1,6,5,1,860,1,5,1,2,1,4,4,3,3,2,2,3,1,2,1,1
147,4,12,5,1,682,2,4,4,2,1,3,3,4,3,2,2,3,1,2,1,1
148,1,36,5,3,5371,1,3,3,1,3,2,2,2,3,2,2,3,1,1,1,1
149,4,18,5,4,1582,4,5,4,1,1,4,3,4,3,2,2,3,1,1,1,1
150,4,6,3,4,1346,2,5,2,1,1,4,4,3,1,3,1,3,2,2,1,1
151,4,10,3,4,1924,1,3,1,1,1,4,2,3,3,2,1,3,1,2,2,1
152,3,36,3,4,5848,1,3,4,1,1,1,3,1,3,2,1,3,1,1,1,1
153,2,24,5,2,7758,4,5,2,2,1,4,4,2,3,1,1,3,1,1,1,1
154,2,24,4,10,6967,2,4,4,1,1,4,3,3,3,1,1,4,1,2,1,1
155,1,12,3,3,1282,1,3,2,2,1,4,3,1,3,1,1,3,1,1,1,2
156,1,9,5,6,1288,2,5,3,1,3,4,1,4,3,2,2,3,2,1,2,1
157,1,12,2,9,339,1,5,4,1,1,1,3,4,1,2,1,2,1,1,1,1
158,2,24,3,1,3512,2,4,2,1,1,3,3,3,1,2,2,3,1,2,1,1
159,4,6,5,4,1898,5,3,1,1,1,2,1,2,3,2,2,2,2,1,1,1
160,4,24,5,4,2872,2,5,3,1,1,4,1,3,3,2,1,3,2,2,1,1
161,4,18,5,1,1055,1,2,4,2,1,1,2,2,3,2,2,3,1,1,1,1
162,4,15,3,5,1262,3,4,4,1,1,3,2,3,3,2,2,3,1,2,1,1
163,2,10,3,1,7308,1,1,2,1,1,4,4,5,1,3,1,4,1,2,1,1
164,4,36,3,1,909,3,5,4,1,1,4,2,3,3,2,1,3,1,1,1,1
165,4,6,3,3,2978,3,3,1,1,1,2,3,2,3,2,1,3,1,2,1,1
166,1,18,3,3,1131,1,1,4,2,1,2,3,2,3,2,1,3,1,1,1,2
167,2,11,3,3,1577,4,2,4,2,1,1,1,1,3,2,1,3,1,1,1,1
168,4,24,3,3,3972,1,4,2,2,1,4,2,2,3,1,1,3,1,2,1,1
169,2,24,5,10,1935,1,5,4,1,1,4,1,2,3,2,2,3,1,2,1,2
170,1,15,1,1,950,1,5,4,1,1,3,3,2,3,1,2,3,2,1,1,2
171,4,12,3,3,763,1,3,4,2,1,1,1,2,3,2,1,3,1,2,1,1
172,2,24,4,3,2064,1,1,3,2,1,2,2,2,3,2,1,4,1,2,1,2
173,2,8,3,4,1414,1,3,4,1,3,2,1,2,3,2,1,3,1,1,2,1
174,1,21,4,7,3414,1,2,2,1,1,1,2,2,3,2,2,3,1,1,1,2
175,4,30,2,2,7485,5,1,4,2,1,1,1,4,1,2,1,4,1,2,1,2
176,1,12,3,3,2577,1,3,2,1,1,1,3,3,3,2,1,3,1,1,1,1
177,1,6,5,4,338,3,5,4,1,1,4,3,4,3,2,2,3,1,1,1,1
178,4,12,3,4,1963,1,4,4,1,1,2,3,2,3,1,2,4,2,2,1,1
179,1,21,5,1,571,1,5,4,1,1,4,1,5,3,2,2,3,1,1,1,1
180,4,36,4,10,9572,1,2,1,1,1,1,3,2,3,2,2,3,1,1,1,2
181,2,36,4,10,4455,1,3,2,1,1,2,1,2,2,2,2,4,1,2,1,2
182,1,21,2,1,1647,5,3,4,1,1,2,2,3,3,2,2,2,2,1,1,2
183,4,24,5,3,3777,4,3,4,1,1,4,1,4,3,2,1,3,1,2,1,1
184,2,18,5,1,884,1,5,4,1,1,4,3,3,1,2,1,3,2,2,1,2
185,4,15,5,4,1360,1,3,4,1,1,2,2,2,3,2,2,3,1,1,1,1
186,2,9,2,2,5129,1,5,2,2,1,4,4,5,1,3,1,4,2,2,1,2
187,2,16,5,1,1175,1,1,2,1,1,3,3,5,3,3,3,1,1,2,1,1
188,1,12,3,4,674,2,4,4,1,1,1,2,1,3,2,1,3,1,1,1,2
189,2,18,1,3,3244,1,3,1,2,1,4,3,2,1,2,2,3,1,2,1,1
190,4,24,3,10,4591,4,3,2,1,1,3,2,4,3,2,3,4,1,2,1,2
191,2,48,1,10,3844,2,4,4,1,1,4,4,2,3,3,1,2,2,1,1,2
192,2,27,3,10,3915,1,3,4,1,1,2,3,3,3,2,1,3,2,2,1,2
193,4,6,3,4,2108,1,4,2,1,1,2,1,2,3,1,1,3,1,1,1,1
194,2,45,3,4,3031,2,3,4,1,3,4,2,1,3,1,1,3,1,1,1,2
195,2,9,5,7,1501,1,5,2,2,1,3,3,2,3,2,2,4,1,2,1,2
196,4,6,5,4,1382,1,3,1,2,1,1,3,2,3,2,2,3,1,2,1,1
197,2,12,3,3,951,2,2,4,2,1,4,3,2,1,1,4,3,1,1,1,2
198,2,24,3,2,2760,5,5,4,1,1,4,4,3,1,3,1,3,1,2,1,1
199,2,18,4,3,4297,1,5,4,1,1,3,4,3,3,2,1,4,1,2,1,2
200,4,9,5,7,936,3,5,4,1,1,2,3,4,3,2,2,3,1,2,1,1
201,1,12,3,1,1168,1,3,4,1,1,3,1,2,3,2,1,2,1,1,1,1
202,4,27,4,10,5117,1,4,3,1,1,4,3,2,3,2,2,3,1,1,1,1
203,1,12,3,9,902,1,4,4,1,1,4,2,1,3,1,1,3,1,1,1,2
204,4,12,5,1,1495,1,5,4,1,1,1,1,3,3,2,2,2,2,1,1,1
205,1,30,5,2,10623,1,5,3,1,1,4,4,3,3,3,3,4,2,2,1,1
206,4,12,5,3,1935,1,5,4,1,1,4,1,3,3,2,3,3,1,2,1,1
207,2,12,5,5,1424,1,4,4,1,1,3,2,2,3,2,1,3,1,1,1,1
208,1,24,3,10,6568,1,3,2,1,1,2,3,1,2,2,1,2,1,1,1,1
209,4,12,3,2,1413,4,4,3,1,1,2,2,5,3,2,1,3,1,1,2,1
210,4,9,5,4,3074,5,3,1,1,1,2,1,2,3,2,2,3,2,1,1,1
211,4,36,3,4,3835,5,5,2,2,1,4,1,4,3,2,1,2,1,2,1,1
212,1,27,1,10,5293,1,1,2,1,1,4,2,4,2,2,2,3,1,2,1,2
213,3,30,4,10,1908,1,5,4,1,1,4,1,5,3,2,1,4,1,2,1,2
214,4,36,5,4,3342,5,5,4,1,1,2,3,4,3,2,1,3,1,2,1,1
215,2,6,5,9,932,5,4,1,2,1,3,2,3,3,2,2,2,1,1,1,1
216,1,18,1,10,3104,1,4,3,1,1,1,2,2,1,2,1,3,1,2,1,1
217,3,36,3,4,3913,1,3,2,1,1,2,1,1,3,2,1,3,1,2,1,1
218,1,24,3,3,3021,1,3,2,1,1,2,1,1,3,1,1,2,1,1,1,1
219,4,10,3,1,1364,1,3,2,2,1,4,3,5,3,2,1,3,1,2,1,1
220,2,12,3,4,625,1,2,4,1,3,1,1,2,1,2,1,2,1,1,1,1
221,1,12,3,7,1200,5,3,4,2,1,4,2,1,1,1,1,3,1,2,1,1
222,4,12,3,4,707,1,3,4,1,1,2,1,2,1,2,2,3,1,1,1,1
223,4,24,4,10,2978,5,3,4,1,1,4,1,2,3,2,2,3,2,2,1,1
224,4,15,3,2,4657,1,3,3,1,1,2,3,2,3,2,1,3,1,2,1,1
225,4,36,1,6,2613,1,3,4,1,1,2,3,2,3,2,2,3,1,1,1,1
226,2,48,3,4,10961,4,4,1,1,2,2,4,2,1,2,2,3,1,2,1,2
227,1,12,3,3,7865,1,5,4,1,1,4,4,4,3,3,1,4,1,2,1,2
228,4,9,3,4,1478,1,4,4,1,1,2,3,1,3,2,1,3,1,1,1,2
229,1,24,3,3,3149,1,2,4,1,1,1,4,1,1,3,1,3,1,1,1,1
230,3,36,3,4,4210,1,3,4,1,1,2,3,2,3,2,1,3,1,1,1,2
231,4,9,3,1,2507,3,5,2,1,1,4,4,4,3,3,1,2,1,1,1,1
232,4,12,3,4,2141,2,4,3,1,1,1,4,3,3,2,1,3,1,1,1,1
233,2,18,3,4,866,1,3,4,1,3,2,1,2,3,2,1,2,1,1,1,1
234,4,4,5,4,1544,1,4,2,1,1,1,1,3,3,2,3,2,2,1,1,1
235,1,24,3,4,1823,1,1,4,1,1,2,3,2,2,2,1,4,2,1,1,2
236,2,6,3,1,14555,5,1,1,1,1,2,2,1,3,2,1,1,1,2,1,2
237,2,21,3,10,2767,2,5,4,1,1,2,3,5,1,1,2,2,1,1,1,2
238,4,12,5,4,1291,1,3,4,2,1,2,2,3,3,2,2,3,1,1,1,1
239,1,30,3,4,2522,1,5,1,1,3,3,2,3,3,2,1,3,2,1,1,1
240,1,24,3,1,915,5,5,4,2,1,2,3,2,1,2,1,3,1,1,1,2
241,4,6,3,4,1595,1,4,3,1,1,2,2,4,3,2,1,3,2,1,1,1
242,1,48,1,2,4605,1,5,3,1,1,4,4,1,3,3,2,3,2,1,1,2
243,4,12,5,10,1185,1,3,3,2,1,2,1,2,3,2,2,3,1,1,1,1
244,4,12,2,9,3447,3,3,4,2,1,3,1,3,3,2,1,2,2,1,1,1
